id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact,impact,impactName
222,5511,Dandapur,Valid,L6,5650,Fell,1878,26.91667,83.96667,1157,845,Dandapur
223,5513,Daniel's Kuil,Valid,EL6,1064,Fell,1868,-28.2,24.56667,3711,2070,Daniel's Kuil
224,5514,Danville,Valid,L6,2000,Fell,1868,34.4,-87.06667,77848,3060000,Danville
225,6603,Darmstadt,Valid,H5,100,Fell,1804,49.86667,8.65,97130,1680000,Darmstadt
226,6604,Dashoguz,Valid,H5,7000,Fell,1998,41.98444,59.685,39623,7670,Dashoguz
227,51559,Daule,Valid,L5,6580,Fell,2008,-1.87089,-79.95756,28806,39400,Daule
228,6621,De Cewsville,Valid,H6,340,Fell,1887,43,-80,59103,829,De Cewsville
229,6634,Deal,Valid,L6,28,Fell,1829,40.25,-74,14936,3510000,Deal
230,6642,Delhi,Valid,L5,0.8,Fell,1897,28.56667,77.25,96830,741000,Delhi
231,6649,Demina,Valid,L6,16400,Fell,1911,51.46667,84.76667,71071,19300,Demina
232,6660,Denver,Valid,L6,230,Fell,1967,39.7825,-104.93056,36364,876000,Denver
233,6664,Dergaon,Valid,H5,12500,Fell,2001,26.68333,93.86667,78711,515,Dergaon
234,6693,Desuri,Valid,H6,25400,Fell,1962,25.73333,73.61667,52813,1160,Desuri
235,6694,Devgaon,Valid,H3.8,12000,Fell,2001,19,81,20983,653,Devgaon
236,6696,Devri-Khera,Valid,L6,1140,Fell,1994,24.225,76.525,58113,462,Devri
237,6698,Dhajala,Valid,H3.8,45000,Fell,1976,22.37778,71.42722,58911,2560,Dhajala
238,6699,Dharwar,Valid,OC,1800,Fell,1848,14.88333,75.6,68103,46700,Dharwar
239,7640,Dhurmsala,Valid,LL6,32000,Fell,1860,32.23333,76.46667,73636,4280,Dhurmsala
240,47350,Didim,Valid,H3-5,3396,Fell,2007,37.35172,27.32997,91674,2290000,Didim
241,7642,Diep River,Valid,L6,1000,Fell,1906,-33.75,18.56667,96186,100000,Diep River
242,7649,Distrito Quebracho,Valid,H4,400,Fell,1957,-31.88333,-60.46667,63364,347,Distrito Quebracho
243,7652,Djati-Pengilon,Valid,H6,166000,Fell,1884,-7.5,111.5,16196,1760,Djati
244,7656,Djermaia,Valid,H,3950,Fell,1961,12.73333,15.05,94016,636,Djermaia
245,7657,Djoumine,Valid,H5-6,10000,Fell,1999,36.95,9.55,49336,693,Djoumine
246,7658,Dokachi,Valid,H5,3840,Fell,1903,23.5,90.33333,41145,530,Dokachi
247,7659,Dolgovoli,Valid,L6,1600,Fell,1864,50.75,25.3,4840,428,Dolgovoli
248,7661,Domanitch,Valid,L5,438,Fell,1907,40,29,73166,322,Domanitch
249,7706,Dong Ujimqin Qi,Valid,Mesosiderite,128800,Fell,1995,45.5,119.03333,21106,19400,Dong Ujimqin Qi
250,7707,Donga Kohrod,Valid,H6,230,Fell,1899,21.86667,82.45,98941,375,Donga Kohrod
251,7708,Dongtai,Valid,LL6,5500,Fell,1970,32.91667,120.78333,48076,111000,Dongtai
252,7718,Doroninsk,Valid,H5-7,3891,Fell,1805,51.2,112.3,4698,755,Doroninsk
253,7722,Dosso,Valid,L6,1250,Fell,1962,13.05,3.16667,23864,130000,Dosso
254,7723,Douar Mghila,Valid,LL6,1161,Fell,1932,32.33333,-6.3,93613,419,Douar Mghila
255,7725,Dowa,Valid,Stone-uncl,642,Fell,1976,-13.66667,33.91667,11438,137000,Dowa
256,7728,Drake Creek,Valid,L6,5000,Fell,1827,36.4,-86.5,16380,2280,Drake Creek
257,7731,Dresden (Ontario),Valid,H6,47700,Fell,1939,42.52,-82.26,53304,8020,Dresden (Ontario)
258,7736,Dubrovnik,Valid,L3-6,1900,Fell,1951,42.45833,18.44167,58405,4100000,Dubrovnik
259,7743,Dunbogan,Valid,L6,30,Fell,1999,-31.66667,152.83333,79517,3030,Dunbogan
260,7745,Dundrum,Valid,H5,2270,Fell,1865,52.55,-8.03333,94798,339000,Dundrum
261,7749,Dunhua,Valid,Stone-uncl,,Fell,1976,43.33333,128.25,28832,18000,Dunhua
262,7750,Durala,Valid,L6,13200,Fell,1815,30.3,76.63333,64845,1360,Durala
263,7752,Duruma,Valid,L6,577,Fell,1853,-4,39.5,66654,631000,Duruma
264,7754,Duwun,Valid,L6,2117,Fell,1943,33.43333,127.26667,52173,653,Duwun
265,7755,Dwaleni,Valid,H4-6,3230,Fell,1970,-27.2,31.31667,62780,449,Dwaleni
266,7757,Dyalpur,Valid,Ureilite,300,Fell,1872,26.25,82,38912,1900,Dyalpur
267,7758,Dyarrl Island,Valid,Mesosiderite-A1,188,Fell,1933,-3,151,60894,642,Dyarrl Island
268,7760,Eagle,Valid,EL6,10000,Fell,1947,40.78167,-96.47167,16818,1660000,Eagle
269,7774,Ehole,Valid,H5,2400,Fell,1961,-17.3,15.83333,25104,2260,Ehole
