id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact
164,5252,Cangas de Onis,Valid,H5,34000,Fell,1866,43.38333,-5.15,77354
165,5253,Canon City,Valid,H6,1400,Fell,1973,38.47028,-105.24139,17950
166,5260,Cape Girardeau,Valid,H6,2300,Fell,1846,37.26667,-89.58333,62657
167,5264,Capilla del Monte,Valid,H6,750,Fell,1934,-30.88333,-64.55,98776
168,45817,Carancas,Valid,H4-5,342,Fell,2007,-16.66444,-69.04389,62305
169,5265,Caratash,Valid,LL6,8,Fell,1902,38.5,27,82896
170,5291,Castalia,Valid,H5,7300,Fell,1874,36.08333,-78.06667,41426
171,5292,Castel Berardenga,Valid,Stone-uncl,,Fell,1791,43.35,11.5,23642
172,5293,Castine,Valid,L6,94,Fell,1848,44.38333,-68.75,88790
173,5295,Castrovillari,Valid,Stone-uncl,15000,Fell,1583,39.8,16.2,82126
174,5296,Caswell County,Valid,OC,1360,Fell,1810,36.5,-79.25,54269
175,5306,Ceniceros,Valid,L3.7,1025,Fell,1988,26.46667,-105.23333,21731
176,5307,Centerville,Valid,H5,45.6,Fell,1956,43.2,-96.91667,20892
177,5308,Cereseto,Valid,H5,6460,Fell,1840,45.08333,8.3,90448
178,5313,Chadong,Valid,L6,3700,Fell,1998,28.53333,109.31667,33745
179,5314,Chail,Valid,H6,0.5,Fell,1814,25.36667,81.66667,65822
180,5315,Chainpur,Valid,LL3.4,8200,Fell,1907,25.85,83.48333,61544
181,5316,Chajari,Valid,L5,18300,Fell,1933,-30.78333,-58.05,95249
182,5320,Chandakapur,Valid,L5,8800,Fell,1838,20.26667,76.01667,77005
183,5321,Chandpur,Valid,L6,1100,Fell,1885,27.28333,79.05,10662
184,5322,Changde,Valid,H5,1810,Fell,1977,29.08333,111.75,31145
185,5325,Chantonnay,Valid,L6,31500,Fell,1812,46.68333,1.05,18052
186,5328,Charlotte,Valid,"Iron, IVA",4300,Fell,1835,36.16667,-87.33333,90012
187,5329,Charsonville,Valid,H6,27000,Fell,1810,47.93333,1.56667,79501
188,5330,Charwallas,Valid,H6,12000,Fell,1834,29.48333,75.5,45700
189,5331,Chassigny,Valid,Martian (chassignite),4000,Fell,1815,47.71667,5.36667,79434
190,5332,Château-Renard,Valid,L6,30000,Fell,1841,47.93333,2.91667,92574
191,5334,Chaves,Valid,Howardite,2945,Fell,1925,41.93333,-7.46667,32056
192,5338,Chela,Valid,H4,2936,Fell,1988,-3.66667,32.5,79700
193,57165,Chelyabinsk,Valid,LL5,100000,Fell,2013,54.81667,61.11667,89104
194,47347,Chergach,Valid,H5,100000,Fell,2007,23.69639,-5.01472,36967
195,5339,Chernyi Bor,Valid,H4,6000,Fell,1964,53.7,30.1,53042
196,5340,Cherokee Springs,Valid,LL6,8400,Fell,1933,35.03333,-81.88333,75351
197,5341,Chervettaz,Valid,L5,705,Fell,1901,46.55,6.81667,18626
198,5342,Chervony Kut,Valid,Eucrite-mmict,1700,Fell,1939,50.83333,34,13999
199,5344,Chetrinahatti,Valid,Stone-uncl,72,Fell,1880,14.5,76.5,23937
200,5345,Chiang Khan,Valid,H6,367,Fell,1981,17.9,101.63333,48505
201,5349,Chicora,Valid,LL6,303,Fell,1938,40.93333,-79.73333,32674
202,5355,Chisenga,Valid,"Iron, IIIAB",3920,Fell,1988,-10.05944,33.395,43427
203,5356,Chitado,Valid,L6,,Fell,1966,-17.35,13.96667,77390
204,5357,Chitenay,Valid,L6,4000,Fell,1978,47.47083,0.97667,15608
205,5364,Cilimus,Valid,L5,1600,Fell,1979,-6.95,108.1,21384
206,5374,Claxton,Valid,L6,1455,Fell,1984,32.1025,-81.87278,15660
207,5383,Clohars,Valid,L4,48.6,Fell,1822,,,58328
208,5395,Colby (Wisconsin),Valid,L6,104000,Fell,1917,44.9,-90.28333,53991
209,5397,Cold Bokkeveld,Valid,CM2,5200,Fell,1838,-33.13333,19.38333,68385
210,5401,Coleman,Valid,L6,469,Fell,1994,43.76111,-84.50778,67770
211,5403,Collescipoli,Valid,H5,5000,Fell,1890,42.53333,12.61667,4888
212,5418,Conquista,Valid,H4,20350,Fell,1965,-19.85,-47.55,7685
213,5451,Cosina,Valid,H5,1200,Fell,1844,21.16667,-100.86667,28854
214,5465,Cranganore,Valid,L6,1460,Fell,1917,10.2,76.26667,610
215,5470,Crescent,Valid,CM2,78.4,Fell,1936,35.95,-97.58333,28566
216,5474,Cronstad,Valid,H5,3650,Fell,1877,-27.7,27.3,80072
217,5476,Cross Roads,Valid,H5,167,Fell,1892,35.63333,-78.13333,91429
218,5477,Crumlin,Valid,L5,4255,Fell,1902,54.61667,-6.21667,85589
219,5496,Cumberland Falls,Valid,Aubrite,17000,Fell,1919,36.83333,-84.35,3780
220,5500,Cynthiana,Valid,L/LL4,6000,Fell,1877,38.4,-84.25,56096
221,5504,Dahmani,Valid,LL6,18000,Fell,1981,35.61667,8.83333,79662
222,5511,Dandapur,Valid,L6,5650,Fell,1878,26.91667,83.96667,1157
223,5513,Daniel's Kuil,Valid,EL6,1064,Fell,1868,-28.2,24.56667,3711
224,5514,Danville,Valid,L6,2000,Fell,1868,34.4,-87.06667,77848
225,6603,Darmstadt,Valid,H5,100,Fell,1804,49.86667,8.65,97130
226,6604,Dashoguz,Valid,H5,7000,Fell,1998,41.98444,59.685,39623
227,51559,Daule,Valid,L5,6580,Fell,2008,-1.87089,-79.95756,28806
228,6621,De Cewsville,Valid,H6,340,Fell,1887,43,-80,59103
229,6634,Deal,Valid,L6,28,Fell,1829,40.25,-74,14936
230,6642,Delhi,Valid,L5,0.8,Fell,1897,28.56667,77.25,96830
231,6649,Demina,Valid,L6,16400,Fell,1911,51.46667,84.76667,71071
232,6660,Denver,Valid,L6,230,Fell,1967,39.7825,-104.93056,36364
233,6664,Dergaon,Valid,H5,12500,Fell,2001,26.68333,93.86667,78711
234,6693,Desuri,Valid,H6,25400,Fell,1962,25.73333,73.61667,52813
235,6694,Devgaon,Valid,H3.8,12000,Fell,2001,19,81,20983
236,6696,Devri-Khera,Valid,L6,1140,Fell,1994,24.225,76.525,58113
237,6698,Dhajala,Valid,H3.8,45000,Fell,1976,22.37778,71.42722,58911
238,6699,Dharwar,Valid,OC,1800,Fell,1848,14.88333,75.6,68103
239,7640,Dhurmsala,Valid,LL6,32000,Fell,1860,32.23333,76.46667,73636
240,47350,Didim,Valid,H3-5,3396,Fell,2007,37.35172,27.32997,91674
241,7642,Diep River,Valid,L6,1000,Fell,1906,-33.75,18.56667,96186
242,7649,Distrito Quebracho,Valid,H4,400,Fell,1957,-31.88333,-60.46667,63364
243,7652,Djati-Pengilon,Valid,H6,166000,Fell,1884,-7.5,111.5,16196
244,7656,Djermaia,Valid,H,3950,Fell,1961,12.73333,15.05,94016
245,7657,Djoumine,Valid,H5-6,10000,Fell,1999,36.95,9.55,49336
246,7658,Dokachi,Valid,H5,3840,Fell,1903,23.5,90.33333,41145
247,7659,Dolgovoli,Valid,L6,1600,Fell,1864,50.75,25.3,4840
248,7661,Domanitch,Valid,L5,438,Fell,1907,40,29,73166
249,7706,Dong Ujimqin Qi,Valid,Mesosiderite,128800,Fell,1995,45.5,119.03333,21106
250,7707,Donga Kohrod,Valid,H6,230,Fell,1899,21.86667,82.45,98941
251,7708,Dongtai,Valid,LL6,5500,Fell,1970,32.91667,120.78333,48076
252,7718,Doroninsk,Valid,H5-7,3891,Fell,1805,51.2,112.3,4698
253,7722,Dosso,Valid,L6,1250,Fell,1962,13.05,3.16667,23864
254,7723,Douar Mghila,Valid,LL6,1161,Fell,1932,32.33333,-6.3,93613
255,7725,Dowa,Valid,Stone-uncl,642,Fell,1976,-13.66667,33.91667,11438
